Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,2000,1339,1294,1960,2113,2384,180,2889,0.000%,59.26628,74.14,13.77
Get Product Categories,2000,476,420,879,1024,1167,2,1523,0.000%,60.05465,444.30,82.16
Post Product Category,2000,467,415,841,980,1255,2,1574,0.000%,60.05465,63.04,27.73
PUT Product Category,2000,518,466,931,1066,1375,4,2005,0.000%,60.05465,59.91,28.41
Delete Products Category,2000,472,439,841,980,1221,2,1621,0.000%,60.06547,49.57,24.29
TOTAL,10000,654,524,1328,1663,2113,2,2889,0.000%,295.84924,681.73,173.95
