Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,6213,1650,1452,2316,2625,8758,206,15234,0.000%,41.10622,51.42,9.55
Get Product Categories,6156,670,492,1048,1327,2631,2,14043,0.000%,43.75982,324.96,59.87
Post Product Category,6093,621,502,1057,1290,2207,2,14153,0.000%,43.33385,45.49,20.01
PUT Product Category,6070,786,582,1231,1578,2952,12,14338,0.000%,43.32929,43.22,20.50
Delete Products Category,6031,661,509,1082,1394,2463,6,14268,0.000%,43.19365,35.64,17.46
TOTAL,30563,881,629,1651,2027,3253,2,15234,0.000%,202.20980,469.18,119.02
