Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,4125,1419,1374,2182,2450,2922,79,4863,0.000%,41.28716,51.65,9.60
Get Product Categories,4002,568,495,1029,1213,1736,2,4345,0.000%,40.21706,512.40,55.02
Post Product Category,3985,531,485,964,1116,1656,2,4343,4.090%,40.05991,42.92,18.50
PUT Product Category,3965,839,591,1202,1513,9088,2,20574,4.035%,39.89455,40.23,18.94
Delete Products Category,3944,556,493,1047,1320,1704,2,2505,4.057%,39.68685,33.42,16.08
TOTAL,20021,787,617,1560,1904,2592,2,20574,2.412%,200.39035,678.00,117.66
