Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HomePage,1730,694,3,2827,"325,63","0,000%","36,84300","242,75","4,28","6747,0"
Login,1730,1253,250,3728,"357,65","0,000%","35,67231","44,63","8,40","1281,0"
GetAll,1730,1346,562,3479,"333,92","0,000%","35,37109","95,96","20,52","2778,0"
GetSalesPerson,1730,1448,102,3998,"455,13","0,000%","35,88169","97,34","20,99","2778,0"
Debug Sampler,1730,0,0,11,"0,37","0,000%","36,75455","18,49","0,00","515,2"
TOTAL,8650,948,0,3998,"635,21","0,000%","175,39235","482,99","53,20","2819,8"
