Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2000,4152,120,15223,1906.33,0.000%,21.04798,114.12,4.60,5552.0
Get Users,2000,2047,4,10921,1200.72,0.000%,22.29306,18.77,59.74,862.3
Post Users,2000,2629,120,10353,1354.84,0.200%,22.36686,8.70,62.58,398.3
Debug Sampler,4000,0,0,5,0.35,0.000%,45.15488,133.83,0.00,3034.9
PUT Users,2000,0,0,1,0.02,100.000%,22.59785,26.31,0.00,1192.0
TOTAL,12000,1471,0,15223,1926.43,16.700%,126.10208,288.87,119.72,2345.7
