Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,8000,9501,1,19565,4700.41,2.450%,26.83834,33.62,6.03,1282.8
GetShippers,8000,11578,1,19915,4266.57,2.450%,26.02058,4326.71,34.40,170271.0
Post Shippers,8000,6400,1,19010,3915.80,2.450%,25.96694,26.06,10.31,1027.8
Debug Sampler,16000,0,0,7,0.24,0.000%,51.88791,25.72,0.00,507.7
PUT Shippers,8000,3079,1,18914,3378.11,2.450%,25.94505,24.38,10.49,962.2
TOTAL,48000,5093,0,19915,5570.51,1.633%,155.16706,4408.50,60.73,29093.2
