Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2000,3391,480,9206,1661.27,0.000%,27.49216,33.53,6.34,1249.0
GetShippers,2000,1951,36,4614,897.17,0.000%,29.89805,1311.53,40.15,44919.7
Post Shippers,2000,955,4,3399,513.77,0.000%,31.75813,31.15,12.85,1004.4
Debug Sampler,4000,0,0,14,1.35,0.000%,64.51717,31.99,0.00,507.8
PUT Shippers,2000,858,6,3841,549.14,0.000%,32.27160,30.07,13.20,954.0
TOTAL,12000,1192,0,9206,1446.35,0.000%,164.84422,1318.50,65.58,8190.4
