Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,22197,2555,147,18927,1125.82,0.000%,17.31512,21.12,3.99,1249.0
GetShippers,21997,4382,162,21720,2459.48,0.000%,17.23267,8920.06,23.14,530047.8
Post Shippers,21997,3259,17,21124,2727.34,0.000%,17.23856,16.96,6.96,1007.4
Debug Sampler,43994,0,0,16,0.29,0.000%,34.49346,17.14,0.00,508.8
PUT Shippers,21997,995,6,23278,1075.90,0.000%,17.24684,16.07,7.06,954.0
TOTAL,132182,1866,0,23278,2322.12,0.000%,103.11067,8953.02,40.98,88913.1
