Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2000,2112,115,6461,1023.93,0.000%,51.19934,277.60,11.20,5552.0
GetShippers,2000,769,4,4286,739.18,0.000%,55.53704,38.34,203.98,706.9
Post Shippers,2000,659,4,3811,751.61,0.000%,58.49150,22.73,160.79,398.0
Debug Sampler,4000,0,0,1,0.22,0.000%,117.99410,334.24,0.00,2900.7
PUT Shippers,2000,0,0,0,0.00,100.000%,59.11738,68.99,0.00,1195.0
TOTAL,12000,590,0,6461,962.50,16.667%,307.08601,682.41,339.87,2275.6
