timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686089736581,1580,Get Sell Request,200,OK,Sell Resources Thread Group 1-40,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1579,0,0
1686089736580,1612,Get Sell Request,200,OK,Sell Resources Thread Group 1-65,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1611,0,0
1686089736599,1609,Get Sell Request,200,OK,Sell Resources Thread Group 1-177,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1608,0,0
1686089736601,1622,Get Sell Request,200,OK,Sell Resources Thread Group 1-178,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1621,0,0
1686089736601,1639,Get Sell Request,200,OK,Sell Resources Thread Group 1-25,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1638,0,0
1686089736615,1628,Get Sell Request,200,OK,Sell Resources Thread Group 1-66,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1627,0,0
1686089736621,1642,Get Sell Request,200,OK,Sell Resources Thread Group 1-41,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1642,0,0
1686089736644,1634,Get Sell Request,200,OK,Sell Resources Thread Group 1-179,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1634,0,0
1686089736626,1657,Get Sell Request,200,OK,Sell Resources Thread Group 1-109,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1657,0,0
1686089737594,705,Get Sell Request,200,OK,Sell Resources Thread Group 1-46,text,true,,7475,973,200,200,http://localhost:8080/api/sells,705,0,0
1686089736692,1620,Get Sell Request,200,OK,Sell Resources Thread Group 1-47,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1620,0,0
1686089736779,1582,Get Sell Request,200,OK,Sell Resources Thread Group 1-5,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1581,0,0
1686089736753,1612,Get Sell Request,200,OK,Sell Resources Thread Group 1-181,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1612,0,0
1686089736745,1626,Get Sell Request,200,OK,Sell Resources Thread Group 1-13,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1626,0,0
1686089736757,1619,Get Sell Request,200,OK,Sell Resources Thread Group 1-180,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1619,0,0
1686089736771,1618,Get Sell Request,200,OK,Sell Resources Thread Group 1-113,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1617,0,0
1686089736791,1632,Get Sell Request,200,OK,Sell Resources Thread Group 1-183,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1631,0,0
1686089736791,1639,Get Sell Request,200,OK,Sell Resources Thread Group 1-182,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1638,0,0
1686089736846,1596,Get Sell Request,200,OK,Sell Resources Thread Group 1-184,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1595,0,0
1686089736872,1584,Get Sell Request,200,OK,Sell Resources Thread Group 1-110,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1584,0,0
1686089736901,1577,Get Sell Request,200,OK,Sell Resources Thread Group 1-111,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1576,0,0
1686089736965,1524,Get Sell Request,200,OK,Sell Resources Thread Group 1-71,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1524,0,0
1686089736951,1549,Get Sell Request,200,OK,Sell Resources Thread Group 1-112,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1548,0,0
1686089736972,1530,Get Sell Request,200,OK,Sell Resources Thread Group 1-161,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1529,0,0
1686089736940,1571,Get Sell Request,200,OK,Sell Resources Thread Group 1-186,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1570,0,0
1686089736973,1545,Get Sell Request,200,OK,Sell Resources Thread Group 1-68,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1544,0,0
1686089737030,1520,Get Sell Request,200,OK,Sell Resources Thread Group 1-187,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1520,0,0
1686089737042,1517,Get Sell Request,200,OK,Sell Resources Thread Group 1-188,text,true,,7475,973,200,200,http://localhost:8080/api/sells,1517,0,0
