Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HomePage,55696,1911,4,4527,"371,68","0,113%","30,92041","203,59","3,59","6742,4"
Login,55633,2598,69,5743,"470,36","0,133%","30,88560","38,69","7,26","1282,8"
GetAll,55559,2612,13,5374,"437,53","0,160%","30,84978","83,69","17,87","2777,8"
GetSalesPerson,55470,2627,117,5285,"443,69","0,135%","30,81543","83,59","18,00","2777,8"
Debug Sampler,55395,0,0,9,"0,24","0,000%","30,80284","15,55","0,00","516,9"
TOTAL,277753,1950,0,5743,"1082,48","0,108%","154,19826","425,01","46,70","2822,4"
