Processed,Id,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,85104,Wed May 31 09:57:09 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,44,844,5153433,Medium,false,
Processed,85105,Wed May 31 09:57:09 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,9,827,3629,,false,
Processed,85106,Wed May 31 09:57:09 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,46,844,5153433,,false,
Processed,85107,Wed May 31 09:57:09 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,11,827,605,,false,
Processed,85108,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,7,833,12225,,false,
Processed,85109,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,7,836,20600,Low,false,JSON
Processed,85110,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/management/info,200,OK,9,834,105,,false,
Processed,85111,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/api/account,200,OK,24,834,397,,false,
Processed,85112,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/favicon.ico,200,OK,13,831,1574,,false,
Processed,85113,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,23,833,12225,,false,
Processed,85114,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,14,836,20600,Low,false,JSON
Processed,85115,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,17,841,163,,false,
Processed,85116,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/management/info,200,OK,13,834,105,,false,
Processed,85117,Wed May 31 09:57:10 BST 2023,GET,http://localhost:8080/api/account,200,OK,30,834,397,,false,
Out of Context,85118,Wed May 31 09:57:11 BST 2023,GET,https://location.services.mozilla.com/v1/country?key=7e40f68c-7938-4c5d-9f95-e61647c213eb,403,Forbidden,0,130,40,,false,
Processed,85119,Wed May 31 09:57:11 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,25,841,163,,false,
Out of Context,85120,Wed May 31 09:57:12 BST 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=113.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,85121,Wed May 31 09:57:13 BST 2023,GET,http://localhost:8080/,200,OK,13,853,6033,Medium,false,"Script, Comment"
Processed,85122,Wed May 31 09:57:13 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,9,827,3629,,false,
Processed,85123,Wed May 31 09:57:13 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,14,827,605,,false,
Processed,85124,Wed May 31 09:57:13 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,58,844,5153433,Medium,false,
Processed,85125,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,12,836,20600,,false,
Processed,85126,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,9,833,12225,,false,
Processed,85127,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/management/info,200,OK,13,834,105,,false,
Processed,85128,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/favicon.ico,200,OK,9,831,1574,,false,
Processed,85129,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/api/account,200,OK,126,834,397,,false,
Processed,85130,Wed May 31 09:57:14 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,13,841,163,,false,
Processed,85131,Wed May 31 09:57:15 BST 2023,GET,http://localhost:8080/,200,OK,10,853,6033,,false,
Out of Context,85132,Wed May 31 09:57:15 BST 2023,GET,https://location.services.mozilla.com/v1/country?key=7e40f68c-7938-4c5d-9f95-e61647c213eb,403,Forbidden,0,130,40,,false,
Processed,85133,Wed May 31 09:57:15 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,7,827,3629,,false,
